,audiofilename,audio_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,payloadsize,audiofilesize,audiofileobjectsize,audio_length,f_t0,f_t1,f_t2,f_t3,f_t4,f_t5,f_t6
366,2645686.wav,12.6142165373,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454060.39292,1543454064.4707599,1543454064.4728599,1543454064.4731,1543454064.5232,151,54616,64,1,1543454060.39293,1543454060.39295,1543454060.3931198,1543454060.39635,1543454063.06658,1543454064.47068,1543454064.47074
367,3200954.wav,12.2953999599,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454064.57404,1543454071.0831099,1543454071.11252,1543454071.11278,1543454071.16644,159,78624,64,2,1543454064.57405,1543454064.57407,1543454064.57426,1543454064.5771198,1543454069.46756,1543454071.08303,1543454071.08309
368,1922111.wav,13.324741845,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454071.21924,1543454080.1189198,1543454080.25534,1543454080.2555099,1543454080.28548,167,86632,64,2,1543454071.21925,1543454071.21927,1543454071.21944,1543454071.22255,1543454077.82643,1543454080.11884,1543454080.1189
369,4014982.wav,12.5625633048,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454080.31972,1543454088.62593,1543454088.64679,1543454088.64705,1543454088.69871,156,60380,64,1,1543454080.31982,1543454080.3198302,1543454080.31995,1543454080.32217,1543454087.14431,1543454088.62585,1543454088.62591
370,5641715.wav,12.4181461886,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454088.75115,1543454096.0502698,1543454096.06553,1543454096.06579,1543454096.11658,164,84070,64,2,1543454088.75116,1543454088.7511802,1543454088.75135,1543454088.75435,1543454094.66739,1543454096.05019,1543454096.05025
371,4498271.wav,13.0666406692,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454096.17009,1543454109.90905,1543454109.98451,1543454109.9847698,1543454110.03919,185,130810,64,4,1543454096.1701,1543454096.17012,1543454096.1703,1543454096.1732302,1543454107.05023,1543454109.9089599,1543454109.90902
372,3023724.wav,12.3930224434,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454110.1066198,1543454116.82876,1543454116.91613,1543454116.9164,1543454116.9688,167,85990,64,2,1543454110.10663,1543454110.10665,1543454110.1068199,1543454110.11015,1543454114.86326,1543454116.82868,1543454116.8287401
373,2030049.wav,13.2004389666,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454117.02194,1543454129.14392,1543454129.2913802,1543454129.29164,1543454129.34144,170,94638,64,2,1543454117.02195,1543454117.02196,1543454117.02213,1543454117.02543,1543454126.6271,1543454129.1438699,1543454129.14391
374,1311768.wav,12.7810043575,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454129.40482,1543454133.29697,1543454133.30636,1543454133.30662,1543454133.3609,152,51442,64,1,1543454129.40483,1543454129.40485,1543454129.40503,1543454129.40871,1543454132.03833,1543454133.29689,1543454133.29695
375,2372847.wav,12.611829439400001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454133.41204,1543454140.51564,1543454140.5220199,1543454140.52227,1543454140.57297,157,74464,64,2,1543454133.41205,1543454133.41207,1543454133.41223,1543454133.41512,1543454138.70414,1543454140.51556,1543454140.51562
376,5757360.wav,12.6372128526,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454140.62574,1543454145.32631,1543454145.34151,1543454145.34176,1543454145.3938,148,58456,64,1,1543454140.62575,1543454140.6257699,1543454140.62594,1543454140.62882,1543454144.06793,1543454145.32623,1543454145.3263
377,2775337.wav,12.916699611199999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454145.44314,1543454151.82571,1543454151.8638,1543454151.86406,1543454151.91886,154,59418,64,1,1543454145.44315,1543454145.4431698,1543454145.44334,1543454145.44626,1543454150.31037,1543454151.8256302,1543454151.82569
378,5840530.wav,12.0803300723,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454151.96878,1543454157.94675,1543454157.98634,1543454157.9866,1543454158.04079,145,57168,64,1,1543454151.96879,1543454151.9688098,1543454151.96899,1543454151.9722,1543454156.3543599,1543454157.9466698,1543454157.9467301
379,3820016.wav,12.8938929707,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454158.08717,1543454166.67111,1543454166.70392,1543454166.70418,1543454166.7578301,154,69662,64,2,1543454158.0871801,1543454158.0872,1543454158.08737,1543454158.0906699,1543454164.53999,1543454166.67103,1543454166.6710901
380,295903.wav,13.404127588,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454166.8148901,1543454174.49858,1543454174.55207,1543454174.55233,1543454174.60476,170,93042,63,2,1543454166.8149,1543454166.81492,1543454166.81509,1543454166.81814,1543454172.69222,1543454174.49849,1543454174.49856
381,2016947.wav,12.7549043268,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454174.66885,1543454181.82532,1543454181.8811,1543454181.88136,1543454181.93208,163,75428,64,2,1543454174.66886,1543454174.66887,1543454174.66904,1543454174.67229,1543454179.96909,1543454181.8252401,1543454181.8253
382,2647355.wav,12.4362342274,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454181.98698,1543454185.3453,1543454185.35921,1543454185.35947,1543454185.4131699,146,49814,64,1,1543454181.98699,1543454181.98701,1543454181.98718,1543454181.99047,1543454184.23995,1543454185.3452199,1543454185.3452802
383,2542562.wav,12.3021248483,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454185.45984,1543454191.88985,1543454191.9765,1543454191.9768,1543454192.02892,158,66466,64,2,1543454185.45985,1543454185.4598699,1543454185.46005,1543454185.46301,1543454190.07885,1543454191.8896801,1543454191.88983
384,3410990.wav,11.9755790576,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454192.08015,1543454197.56351,1543454197.5768,1543454197.57706,1543454197.6317,149,62616,64,1,1543454192.08016,1543454192.0801802,1543454192.0803,1543454192.0834901,1543454196.5453598,1543454197.56343,1543454197.5634902
385,2011916.wav,12.6438140875,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454197.67775,1543454202.4973302,1543454202.51474,1543454202.515,1543454202.56898,152,69018,64,2,1543454197.67776,1543454197.6777802,1543454197.6779099,1543454197.6813,1543454201.42615,1543454202.49725,1543454202.49731
386,3185580.wav,12.5607620124,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454202.6228,1543454208.3738801,1543454208.39279,1543454208.39296,1543454208.42191,148,62616,64,1,1543454202.62281,1543454202.62282,1543454202.62295,1543454202.62593,1543454207.19327,1543454208.3738198,1543454208.37386
387,6048275.wav,12.377650298099999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454208.4714,1543454213.7093198,1543454213.71983,1543454213.7200801,1543454213.77545,151,65174,64,2,1543454208.47141,1543454208.47143,1543454208.47156,1543454208.4746401,1543454212.52093,1543454213.70924,1543454213.7093
388,5752493.wav,12.5504094317,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454213.82352,1543454219.9926,1543454220.06604,1543454220.0663,1543454220.12031,150,58458,64,1,1543454213.8235302,1543454213.82354,1543454213.82367,1543454213.8266401,1543454218.23592,1543454219.9925199,1543454219.9925802
389,4497876.wav,11.9645588309,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454220.16821,1543454225.16609,1543454225.1874,1543454225.18766,1543454225.24346,152,57176,64,1,1543454220.1682198,1543454220.16824,1543454220.16836,1543454220.17155,1543454223.43985,1543454225.16601,1543454225.16607
390,44618.wav,12.3871336266,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454225.28772,1543454229.85274,1543454229.87079,1543454229.87104,1543454229.9236698,147,54636,62,1,1543454225.28773,1543454225.28775,1543454225.28787,1543454225.29113,1543454228.86492,1543454229.85267,1543454229.85272
391,1141016.wav,12.8824719258,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454229.9705698,1543454234.73404,1543454234.75004,1543454234.7502,1543454234.78205,156,67420,64,2,1543454229.97058,1543454229.9706,1543454229.97074,1543454229.97374,1543454233.58702,1543454234.73399,1543454234.73403
392,4398141.wav,12.6853630704,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454234.8115401,1543454241.08901,1543454241.1047802,1543454241.10503,1543454241.15887,160,87268,64,2,1543454234.81155,1543454234.81156,1543454234.81164,1543454234.8136802,1543454239.96963,1543454241.0889401,1543454241.08899
393,3345304.wav,11.886020654500001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454241.21666,1543454246.90984,1543454246.91885,1543454246.9191,1543454246.9725802,152,50460,64,1,1543454241.21667,1543454241.21669,1543454241.21682,1543454241.2199,1543454245.6805902,1543454246.9096901,1543454246.9098198
394,5469750.wav,12.8603504584,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454247.01621,1543454254.90327,1543454254.93861,1543454254.93887,1543454254.99121,165,79272,64,2,1543454247.0162199,1543454247.01623,1543454247.01636,1543454247.01926,1543454253.29102,1543454254.9031901,1543454254.90325
395,1951487.wav,12.26896489,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454255.04918,1543454262.54146,1543454262.55164,1543454262.5518901,1543454262.60367,158,72224,64,2,1543454255.04919,1543454255.04921,1543454255.04934,1543454255.05242,1543454261.56191,1543454262.5413802,1543454262.54144
396,2547187.wav,12.4780955527,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454262.65636,1543454269.06028,1543454269.07032,1543454269.07058,1543454269.12171,150,56216,64,1,1543454262.65636,1543454262.65637,1543454262.65645,1543454262.6584802,1543454266.87065,1543454269.0602,1543454269.06026
397,5916925.wav,12.392529082200001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454269.1693099,1543454275.41867,1543454275.4391801,1543454275.43944,1543454275.4931,158,73180,64,2,1543454269.1693199,1543454269.1693301,1543454269.16946,1543454269.1724901,1543454273.84531,1543454275.41859,1543454275.41865
398,1095657.wav,13.209748113699998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454275.54556,1543454286.13359,1543454286.2664,1543454286.26667,1543454286.3196099,179,112248,64,3,1543454275.54557,1543454275.54559,1543454275.5457199,1543454275.54875,1543454283.3894,1543454286.1335099,1543454286.13357
399,3148322.wav,12.5859224255,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454286.3855,1543454299.8720698,1543454299.9370198,1543454299.93729,1543454299.9923198,195,139460,64,4,1543454286.38551,1543454286.38552,1543454286.38565,1543454286.38896,1543454297.35461,1543454299.87199,1543454299.87205
400,3820024.wav,11.7460401959,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454300.11714,1543454305.11499,1543454305.1247,1543454305.12495,1543454305.1763,148,47256,64,1,1543454300.11715,1543454300.11718,1543454300.1173,1543454300.1205802,1543454303.7691698,1543454305.11492,1543454305.11498
401,1092109.wav,13.1977046835,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454305.2219,1543454313.86823,1543454313.8899,1543454313.89007,1543454313.9205,167,86628,64,2,1543454305.22191,1543454305.22193,1543454305.22205,1543454305.22501,1543454311.67397,1543454313.86818,1543454313.8682199
402,2406588.wav,13.2354439577,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454313.9541302,1543454324.54705,1543454324.5902,1543454324.59037,1543454324.62094,174,97840,64,3,1543454313.95414,1543454313.95415,1543454313.95423,1543454313.95627,1543454321.51805,1543454324.54697,1543454324.54703
403,4016247.wav,12.471596133199998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454324.65489,1543454331.94867,1543454331.9587,1543454331.95895,1543454332.01314,158,73182,64,2,1543454324.6549,1543454324.6549098,1543454324.65499,1543454324.65713,1543454330.46189,1543454331.9486,1543454331.94866
404,2390804.wav,12.6787053536,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454332.06778,1543454338.44494,1543454338.45991,1543454338.46016,1543454338.51529,151,62616,64,1,1543454332.06779,1543454332.06781,1543454332.06793,1543454332.07112,1543454337.14732,1543454338.44486,1543454338.4449198
405,887335.wav,12.434463483599998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454338.56644,1543454345.4431698,1543454345.4782,1543454345.4784698,1543454345.53129,158,67958,63,2,1543454338.56645,1543454338.56647,1543454338.56659,1543454338.5696,1543454343.68636,1543454345.44309,1543454345.44315
406,2835642.wav,12.1867495854,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454345.58284,1543454351.7389,1543454351.75023,1543454351.75049,1543454351.8030698,161,67426,64,2,1543454345.58285,1543454345.58287,1543454345.58299,1543454345.58596,1543454349.86503,1543454351.7388198,1543454351.7388802
407,5752472.wav,12.1917192348,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454351.8543901,1543454356.90924,1543454356.91699,1543454356.9172401,1543454356.9709,151,55258,64,1,1543454351.8544,1543454351.85442,1543454351.85454,1543454351.8575,1543454355.36326,1543454356.90916,1543454356.90922
408,3966234.wav,12.377962509300001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454357.01717,1543454365.92154,1543454365.93637,1543454365.9365401,1543454365.97338,169,84076,64,2,1543454357.01718,1543454357.0172,1543454357.01732,1543454357.02044,1543454363.58884,1543454365.9214802,1543454365.92152
409,2276093.wav,12.4387769736,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454366.0272698,1543454373.11909,1543454373.12587,1543454373.1261199,1543454373.17933,148,57814,64,1,1543454366.02728,1543454366.0273,1543454366.0274198,1543454366.0306401,1543454371.20819,1543454373.11901,1543454373.1190698
410,17666.wav,12.802503540899998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454373.22513,1543454379.82393,1543454379.85469,1543454379.85495,1543454379.91206,147,46654,62,1,1543454373.22514,1543454373.22516,1543454373.22529,1543454373.2281802,1543454378.3743598,1543454379.82386,1543454379.82392
411,4016645.wav,11.858109313900002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454379.96019,1543454385.89002,1543454385.9065099,1543454385.90677,1543454385.95775,154,69662,64,2,1543454379.9602,1543454379.9602199,1543454379.96035,1543454379.9634302,1543454384.8038,1543454385.88994,1543454385.89
412,6118557.wav,12.6149070426,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454386.00805,1543454395.74788,1543454395.7660902,1543454395.76635,1543454395.8181,184,119288,64,3,1543454386.00806,1543454386.00808,1543454386.00821,1543454386.01128,1543454393.89954,1543454395.7478,1543454395.74786
413,2547928.wav,12.269429730699999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454395.87987,1543454403.55332,1543454403.60846,1543454403.6087801,1543454403.66056,152,51414,64,1,1543454395.8798802,1543454395.8799,1543454395.88002,1543454395.8829699,1543454401.24506,1543454403.55323,1543454403.5532901
414,3154697.wav,12.4606175549,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454403.70595,1543454411.59501,1543454411.62424,1543454411.6244,1543454411.6557,165,84072,64,2,1543454403.70596,1543454403.7059698,1543454403.70615,1543454403.7091699,1543454409.49633,1543454411.59496,1543454411.595
415,3818166.wav,12.097617058199999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454411.7102,1543454416.72492,1543454416.73404,1543454416.73428,1543454416.78577,153,55260,64,1,1543454411.7102098,1543454411.71023,1543454411.7104099,1543454411.71351,1543454415.18207,1543454416.7248302,1543454416.7249
416,2007554.wav,12.0087238193,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454416.83128,1543454423.25568,1543454423.27036,1543454423.2706199,1543454423.32,153,67418,64,2,1543454416.83129,1543454416.83131,1543454416.83148,1543454416.83437,1543454422.02193,1543454423.2556,1543454423.25566
417,4663438.wav,12.469253219,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454423.36912,1543454432.59655,1543454432.61537,1543454432.61562,1543454432.66945,171,84078,64,2,1543454423.3691301,1543454423.3691401,1543454423.36932,1543454423.37241,1543454430.5171402,1543454432.5964699,1543454432.59653
418,2092617.wav,12.9490738439,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454432.71935,1543454446.7764,1543454446.82352,1543454446.8236802,1543454446.85521,175,104240,64,3,1543454432.7193599,1543454432.71937,1543454432.71948,1543454432.72156,1543454444.6534,1543454446.77635,1543454446.77639
419,44360.wav,12.8842305588,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454446.89566,1543454460.02985,1543454460.06863,1543454460.06889,1543454460.12148,169,105876,62,3,1543454446.89567,1543454446.89569,1543454446.89587,1543454446.89909,1543454457.57612,1543454460.02969,1543454460.02983
420,2880678.wav,12.3704471653,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454460.18062,1543454466.95213,1543454466.96666,1543454466.96692,1543454467.02145,154,61020,64,1,1543454460.18063,1543454460.18065,1543454460.18083,1543454460.18386,1543454465.97727,1543454466.95204,1543454466.95211
421,2142016.wav,12.5500665361,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454467.0703,1543454471.29309,1543454471.30764,1543454471.3079,1543454471.36255,144,41818,64,1,1543454467.0703099,1543454467.0703301,1543454467.07051,1543454467.07351,1543454470.12241,1543454471.29301,1543454471.2930698
422,510565.wav,12.7059128923,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454471.4075599,1543454477.27411,1543454477.2988698,1543454477.29913,1543454477.35132,150,66458,63,2,1543454471.40757,1543454471.4075801,1543454471.40776,1543454471.41091,1543454475.95309,1543454477.27403,1543454477.27409
423,5786087.wav,12.021189653299999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454477.4042199,1543454481.82475,1543454481.82873,1543454481.82897,1543454481.8822598,155,55262,64,1,1543454477.40423,1543454477.40425,1543454477.40442,1543454477.40739,1543454481.0097198,1543454481.8246698,1543454481.8247302
424,4494181.wav,12.585762975,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454481.9136698,1543454489.43041,1543454489.46526,1543454489.4655302,1543454489.51673,154,74462,64,2,1543454481.9136698,1543454481.91368,1543454481.9138,1543454481.91575,1543454487.61678,1543454489.43033,1543454489.4303901
425,3921216.wav,12.4256237426,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454489.56889,1543454495.56297,1543454495.60855,1543454495.60881,1543454495.66326,167,89186,64,2,1543454489.5689,1543454489.56892,1543454489.5690901,1543454489.57252,1543454493.8427598,1543454495.56289,1543454495.56295
426,2361320.wav,12.151948903800001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454495.71659,1543454501.7283,1543454501.73581,1543454501.73606,1543454501.7886,154,61020,64,1,1543454495.7166,1543454495.71662,1543454495.71679,1543454495.72001,1543454500.63464,1543454501.72822,1543454501.72828
427,2963304.wav,12.373379551700001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454501.83651,1543454508.20774,1543454508.2123199,1543454508.21257,1543454508.2665699,151,57174,64,1,1543454501.83652,1543454501.83654,1543454501.83672,1543454501.8396802,1543454506.99611,1543454508.20762,1543454508.2077198
428,327384.wav,12.2582822318,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454508.31483,1543454532.79741,1543454537.38777,1543454537.38803,1543454537.4419198,167,97844,63,3,1543454508.31484,1543454508.3148599,1543454508.31503,1543454508.3181,1543454526.3088,1543454532.7973301,1543454532.79739
429,2254727.wav,12.4078047055,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454537.49683,1543454541.1605198,1543454541.1721401,1543454541.1724,1543454541.22556,141,37006,64,1,1543454537.49684,1543454537.49685,1543454537.49703,1543454537.50195,1543454540.27589,1543454541.16045,1543454541.16051
430,264025.wav,12.1983981976,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454541.26931,1543454545.2532802,1543454545.2555802,1543454545.25574,1543454545.2867901,144,45010,63,1,1543454541.26932,1543454541.26934,1543454541.26951,1543454541.27263,1543454543.6651099,1543454545.25323,1543454545.25327
431,1754893.wav,12.3555162717,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454545.31108,1543454553.27791,1543454553.29789,1543454553.29816,1543454553.3517098,162,76070,64,2,1543454545.31109,1543454545.3111,1543454545.31122,1543454545.31325,1543454551.71039,1543454553.2778199,1543454553.27789
432,2422582.wav,13.1197137455,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454553.40231,1543454561.63986,1543454561.6793802,1543454561.67964,1543454561.7338,180,118648,64,3,1543454553.40232,1543454553.40234,1543454553.40252,1543454553.40545,1543454559.57892,1543454561.6397,1543454561.6398401
433,2033719.wav,12.3986020524,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454561.79739,1543454573.88094,1543454573.92423,1543454573.92449,1543454573.9753199,166,83432,64,2,1543454561.7974,1543454561.79741,1543454561.79759,1543454561.80078,1543454570.89604,1543454573.8808599,1543454573.88092
434,276529.wav,12.697403980199999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454574.02599,1543454580.7243302,1543454580.74103,1543454580.7413,1543454580.79855,150,61046,63,1,1543454574.026,1543454574.02601,1543454574.02618,1543454574.0292,1543454579.06771,1543454580.72424,1543454580.72431
435,4498938.wav,12.189081069,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454580.85395,1543454585.06424,1543454585.08099,1543454585.08125,1543454585.13499,147,49170,64,1,1543454580.85396,1543454580.85398,1543454580.8541698,1543454580.8573802,1543454583.98703,1543454585.0641599,1543454585.06422
436,3023986.wav,12.2625847448,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454585.18028,1543454591.88574,1543454591.90885,1543454591.9091198,1543454591.96377,159,72224,64,2,1543454585.18029,1543454585.18031,1543454585.18047,1543454585.18341,1543454590.34233,1543454591.88565,1543454591.88572
437,3148287.wav,12.6087402476,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454592.01231,1543454601.67115,1543454601.6763802,1543454601.6765401,1543454601.70806,189,125054,64,3,1543454592.0123198,1543454592.01233,1543454592.0125,1543454592.01547,1543454599.65169,1543454601.6710901,1543454601.6711302
438,3738136.wav,12.6026681969,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454601.75195,1543454605.3559802,1543454605.3770301,1543454605.37729,1543454605.4347801,150,57174,64,1,1543454601.75196,1543454601.75198,1543454601.75216,1543454601.75507,1543454604.4941301,1543454605.3559,1543454605.35596
439,3202700.wav,12.2559205016,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454605.48443,1543454615.33262,1543454615.37069,1543454615.37095,1543454615.4233902,167,88232,64,2,1543454605.48444,1543454605.4844599,1543454605.4846199,1543454605.4876099,1543454613.09254,1543454615.33254,1543454615.3326
440,4493985.wav,12.3506381096,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454615.47473,1543454621.31869,1543454621.33465,1543454621.33491,1543454621.3892698,158,74466,64,2,1543454615.47474,1543454615.47476,1543454615.47493,1543454615.47793,1543454620.0943599,1543454621.31861,1543454621.31867
441,3528477.wav,11.956992451300001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454621.4423099,1543454626.05544,1543454626.06302,1543454626.0632699,1543454626.1126099,154,58462,64,1,1543454621.4423199,1543454621.4423401,1543454621.44251,1543454621.4454598,1543454625.05317,1543454626.05536,1543454626.05542
442,1893705.wav,12.809759874800001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454626.1589901,1543454631.46822,1543454631.48438,1543454631.4846401,1543454631.53604,161,70626,64,2,1543454626.159,1543454626.15902,1543454626.15919,1543454626.16235,1543454630.04855,1543454631.46813,1543454631.4682
443,2647843.wav,12.4023162076,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454631.58815,1543454638.45838,1543454638.4644802,1543454638.46474,1543454638.5185401,147,56212,64,1,1543454631.58816,1543454631.58818,1543454631.58834,1543454631.59148,1543454637.14219,1543454638.4583,1543454638.45836
444,1027115.wav,13.415253545899999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454638.56463,1543454647.08444,1543454647.13959,1543454647.13992,1543454647.19097,161,81826,64,2,1543454638.56464,1543454638.56466,1543454638.56484,1543454638.56781,1543454644.88816,1543454647.08436,1543454647.08442
445,3766133.wav,12.0719802468,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454647.2507699,1543454651.62103,1543454651.63129,1543454651.6315598,1543454651.68701,150,55258,64,1,1543454647.25078,1543454647.2508,1543454647.25097,1543454647.25405,1543454650.12521,1543454651.62095,1543454651.62101
446,4825583.wav,10.7150664525,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454651.73169,1543454655.29199,1543454655.3042,1543454655.30445,1543454655.35499,145,44368,64,1,1543454651.73169,1543454651.73171,1543454651.7318802,1543454651.73478,1543454654.2646801,1543454655.29191,1543454655.29198
447,4013844.wav,12.5570992244,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454655.39659,1543454664.11526,1543454664.14965,1543454664.14999,1543454664.20229,166,82474,64,2,1543454655.3966,1543454655.39662,1543454655.39679,1543454655.39998,1543454662.62547,1543454664.11518,1543454664.11524
448,6102206.wav,12.382259807,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454664.25778,1543454669.37915,1543454669.38479,1543454669.38504,1543454669.43866,152,60376,64,1,1543454664.25779,1543454664.2578099,1543454664.258,1543454664.26116,1543454668.29997,1543454669.3790698,1543454669.3791301
449,2721459.wav,12.4555155546,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454669.48684,1543454674.0813198,1543454674.1926599,1543454674.19293,1543454674.24773,153,62626,64,1,1543454669.48685,1543454669.4868698,1543454669.48704,1543454669.49015,1543454672.70504,1543454674.08124,1543454674.0813
450,30446.wav,11.823120748,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454674.29659,1543454679.67939,1543454679.68917,1543454679.68933,1543454679.72311,144,45010,62,1,1543454674.2966,1543454674.29662,1543454674.2967901,1543454674.3001099,1543454678.56564,1543454679.6793401,1543454679.6793802
451,1617039.wav,12.1534575856,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454679.74689,1543454685.1024199,1543454685.1412802,1543454685.14154,1543454685.19377,142,48208,64,1,1543454679.74689,1543454679.7469,1543454679.74701,1543454679.7490199,1543454683.88385,1543454685.10234,1543454685.1024
452,5754581.wav,12.2261224502,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454685.23855,1543454692.0530698,1543454692.07783,1543454692.07809,1543454692.12769,149,52372,64,1,1543454685.23856,1543454685.23858,1543454685.23875,1543454685.24199,1543454690.69926,1543454692.0529802,1543454692.05305
453,3734837.wav,12.739853495699998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543454692.1757,1543454701.1008198,1543454701.13512,1543454701.13539,1543454701.19034,186,120894,64,3,1543454692.17571,1543454692.17573,1543454692.1759,1543454692.17887,1543454698.95469,1543454701.10074,1543454701.1008
