audiofilename,audio_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,payloadsize,audiofilesize,audiofileobjectsize,audio_length,f_t0,f_t1,f_t2,f_t3,f_t4,f_t5,f_t6,flight_time,iothub_time,end_to_end_time,messagesendutctime,iothubutctime,s3creationutctime,audiotranslation
4012790.wav,12.7445322606,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456593.43244,1543456597.85443,1543456597.86706,1543456597.8673198,1543456597.9212599,155,57178,64,1,1543456593.43245,1543456593.4324698,1543456593.43264,1543456593.4357,1543456596.71331,1543456597.85434,1543456597.8544,39.89100000000001,93.0,132.89100000000002,2018-11-29 01:56:37.867109,2018-11-29 01:56:37.907000,2018-11-29 01:56:38.000000,how long were you in there
5509421.wav,12.41261179,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456597.97045,1543456606.71535,1543456606.77231,1543456606.7725801,1543456606.82656,169,89192,64,2,1543456597.97046,1543456597.97048,1543456597.97066,1543456597.9735801,1543456605.01658,1543456606.7152698,1543456606.7153301,53.637,174.0,227.637,2018-11-29 01:56:46.772363,2018-11-29 01:56:46.826000,2018-11-29 01:56:47.000000,tom says he hasn't thought about it here
2218111.wav,12.293529704700001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456606.8824801,1543456611.1503901,1543456611.15525,1543456611.15549,1543456611.20907,149,54614,64,1,1543456606.8824902,1543456606.88251,1543456606.8826802,1543456606.88573,1543456610.1908,1543456611.15031,1543456611.15037,52.707,792.0,844.707,2018-11-29 01:56:51.155293,2018-11-29 01:56:51.208000,2018-11-29 01:56:52.000000,you're being watched
1444833.wav,12.809596,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456611.25664,1543456617.0833302,1543456617.26658,1543456617.26684,1543456617.30791,147,61012,64,1,1543456611.25665,1543456611.25667,1543456611.25684,1543456611.2599301,1543456615.40083,1543456617.08325,1543456617.08331,40.378,693.0,733.3779999999998,2018-11-29 01:56:57.266622,2018-11-29 01:56:57.307000,2018-11-29 01:56:58.000000,tom fills unwanted
5000866.wav,11.599116156400001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456617.33569,1543456622.08848,1543456622.09077,1543456622.0910401,1543456622.14531,148,52372,64,1,1543456617.3357,1543456617.33571,1543456617.33583,1543456617.33813,1543456620.8675,1543456622.0884,1543456622.08846,40.166,869.0,909.166,2018-11-29 01:57:02.090834,2018-11-29 01:57:02.131000,2018-11-29 01:57:03.000000,it's very different
2540637.wav,12.542926151400001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456622.1891198,1543456631.61623,1543456631.6431699,1543456631.64343,1543456631.6986802,170,90470,64,2,1543456622.18913,1543456622.18915,1543456622.18933,1543456622.19229,1543456630.43112,1543456631.61615,1543456631.61621,57.782,299.0,356.782,2018-11-29 01:57:11.643218,2018-11-29 01:57:11.701000,2018-11-29 01:57:12.000000,how was told to be here on the thirteenth
4999695.wav,12.4506035914,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456631.75445,1543456640.01316,1543456640.10036,1543456640.10063,1543456640.15289,163,93988,64,2,1543456631.7544599,1543456631.7544801,1543456631.75465,1543456631.75765,1543456638.21723,1543456640.0130801,1543456640.01314,38.586999999999996,861.0,899.587,2018-11-29 01:57:20.100413,2018-11-29 01:57:20.139000,2018-11-29 01:57:21.000000,i'm afraid just misunderstood this
2547262.wav,12.4267933499,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456640.21,1543456645.73564,1543456645.76916,1543456645.76942,1543456645.82124,151,57816,64,1,1543456640.21001,1543456640.21003,1543456640.2102199,1543456640.21338,1543456644.6970901,1543456645.73556,1543456645.73562,39.793,191.0,230.793,2018-11-29 01:57:25.769207,2018-11-29 01:57:25.809000,2018-11-29 01:57:26.000000,i'll never lied to you
5454824.wav,12.704721301700001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456645.8696198,1543456653.98095,1543456654.03772,1543456654.03798,1543456654.0894198,169,93992,64,2,1543456645.86963,1543456645.86965,1543456645.86995,1543456645.87298,1543456652.12566,1543456653.98087,1543456653.98093,41.233999999999995,921.0,962.2339999999999,2018-11-29 01:57:34.037766,2018-11-29 01:57:34.079000,2018-11-29 01:57:35.000000,it'll be some time before time gets here
2254950.wav,12.7933760689,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456654.14656,1543456662.51358,1543456662.52196,1543456662.52222,1543456662.5737698,149,57814,64,1,1543456654.14658,1543456654.14659,1543456654.14677,1543456654.15014,1543456660.54435,1543456662.5135,1543456662.51356,37.994,440.0,477.994,2018-11-29 01:57:42.522006,2018-11-29 01:57:42.560000,2018-11-29 01:57:43.000000,you can't understand
252011.wav,13.087298004200001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456662.62413,1543456670.60782,1543456670.6138198,1543456670.61398,1543456670.6431901,163,78722,63,2,1543456662.62414,1543456662.62416,1543456662.62434,1543456662.62735,1543456668.76023,1543456670.60776,1543456670.6078,27.152,359.0,386.152,2018-11-29 01:57:50.613848,2018-11-29 01:57:50.641000,2018-11-29 01:57:51.000000,a friend of mine is studying abroad
5858650.wav,12.816708647899999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456670.67445,1543456676.36539,1543456676.38154,1543456676.3818,1543456676.43473,148,58456,64,1,1543456670.67446,1543456670.67447,1543456670.67459,1543456670.6766,1543456675.22061,1543456676.36531,1543456676.36537,40.415,578.0,618.4150000000002,2018-11-29 01:57:56.381585,2018-11-29 01:57:56.422000,2018-11-29 01:57:57.000000,i knew tom was busy
2387294.wav,12.1847088367,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456676.48546,1543456684.64486,1543456684.68379,1543456684.6840599,1543456684.73579,159,73824,64,2,1543456676.4854698,1543456676.48549,1543456676.48566,1543456676.4886699,1543456683.32768,1543456684.6447802,1543456684.64484,42.163999999999994,274.0,316.164,2018-11-29 01:58:04.683836,2018-11-29 01:58:04.726000,2018-11-29 01:58:05.000000,i must say i'm quite impressed
3346025.wav,13.0473476776,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456684.78684,1543456695.0842,1543456695.1164,1543456695.1166599,1543456695.16704,171,101996,64,3,1543456684.78685,1543456684.78687,1543456684.78704,1543456684.79032,1543456693.50443,1543456695.08412,1543456695.08418,40.555,843.0,883.555,2018-11-29 01:58:15.116445,2018-11-29 01:58:15.157000,2018-11-29 01:58:16.000000,you may not remember me but i remember you
258694.wav,12.6049630804,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456695.2279599,1543456700.0586,1543456700.06845,1543456700.0687099,1543456700.11964,151,62654,63,1,1543456695.22797,1543456695.2279902,1543456695.22816,1543456695.23134,1543456698.9912,1543456700.05851,1543456700.0585802,40.504,891.0,931.5039999999999,2018-11-29 01:58:20.068496,2018-11-29 01:58:20.109000,2018-11-29 01:58:21.000000,i know some of the boys
1093604.wav,12.8762071784,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456700.16914,1543456708.07828,1543456708.1298099,1543456708.13008,1543456708.17987,167,93032,64,2,1543456700.16915,1543456700.16916,1543456700.1693401,1543456700.17252,1543456706.25543,1543456708.07819,1543456708.07825,40.137,830.0,870.1370000000002,2018-11-29 01:58:28.129863,2018-11-29 01:58:28.170000,2018-11-29 01:58:29.000000,calm has the habit of biting his nails
5852953.wav,12.336656487599999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456708.24081,1543456712.94644,1543456712.96423,1543456712.96449,1543456713.01697,152,60374,64,1,1543456708.24082,1543456708.24084,1543456708.24102,1543456708.2440698,1543456711.91874,1543456712.94635,1543456712.94642,43.718,992.0,1035.7179999999996,2018-11-29 01:58:32.964282,2018-11-29 01:58:33.008000,2018-11-29 01:58:34.000000,khan says i'm too picky
6274889.wav,11.9337303929,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456713.0639,1543456716.97766,1543456717.00115,1543456717.00142,1543456717.05691,144,47254,64,1,1543456713.06391,1543456713.06393,1543456713.06411,1543456713.06711,1543456715.86893,1543456716.97758,1543456716.9776402,41.798,957.0,998.798,2018-11-29 01:58:37.001202,2018-11-29 01:58:37.043000,2018-11-29 01:58:38.000000,tom look sleepy
3287230.wav,12.519442227799999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456717.1022801,1543456723.29373,1543456723.3044,1543456723.30465,1543456723.35815,164,80230,64,2,1543456717.1022902,1543456717.10231,1543456717.1024802,1543456717.10546,1543456722.30525,1543456723.2936401,1543456723.29371,39.556999999999995,656.0,695.557,2018-11-29 01:58:43.304443,2018-11-29 01:58:43.344000,2018-11-29 01:58:44.000000,so are you just going to do nothing
4015028.wav,12.5080204202,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456723.4129,1543456731.06546,1543456731.1063302,1543456731.10659,1543456731.15924,157,69662,64,2,1543456723.41291,1543456723.41293,1543456723.41311,1543456723.4161,1543456729.67968,1543456731.06538,1543456731.06544,38.625,855.0,893.625,2018-11-29 01:58:51.106375,2018-11-29 01:58:51.145000,2018-11-29 01:58:52.000000,everybody else is doing that
3178618.wav,12.7434155499,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456731.2123802,1543456737.92081,1543456737.93879,1543456737.93905,1543456737.9940698,153,62618,64,1,1543456731.21239,1543456731.2124,1543456731.21258,1543456731.2156599,1543456736.0832698,1543456737.92073,1543456737.92079,40.165,1021.0,1061.165,2018-11-29 01:58:57.938835,2018-11-29 01:58:57.979000,2018-11-29 01:58:59.000000,it needs to be destroyed
3311127.wav,12.1453474302,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456738.0455801,1543456743.4253,1543456743.4553,1543456743.45556,1543456743.51415,152,56218,64,1,1543456738.04559,1543456738.04561,1543456738.04579,1543456738.0488,1543456741.90215,1543456743.42522,1543456743.42528,43.652,501.0,544.6519999999999,2018-11-29 01:59:03.455348,2018-11-29 01:59:03.499000,2018-11-29 01:59:04.000000,we're getting a divorce
2236152.wav,12.5485847285,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456743.56234,1543456749.15339,1543456749.1773698,1543456749.1776302,1543456749.2311199,143,52986,64,1,1543456743.56235,1543456743.5623698,1543456743.56255,1543456743.5655198,1543456747.79386,1543456749.15331,1543456749.15337,44.586000000000006,778.0,822.586,2018-11-29 01:59:09.177414,2018-11-29 01:59:09.222000,2018-11-29 01:59:10.000000,tom can't move
4937931.wav,11.772420728800002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456749.28009,1543456755.78371,1543456755.78936,1543456755.78961,1543456755.84308,150,63258,64,1,1543456749.2801,1543456749.28012,1543456749.2802901,1543456749.28338,1543456754.88465,1543456755.7836301,1543456755.78369,43.599,167.0,210.599,2018-11-29 01:59:15.789401,2018-11-29 01:59:15.833000,2018-11-29 01:59:16.000000,it's likely to happen
1027351.wav,12.8737134251,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456755.89044,1543456763.6654,1543456763.6905901,1543456763.69085,1543456763.74069,159,75424,64,2,1543456755.89045,1543456755.89047,1543456755.89065,1543456755.8935301,1543456761.94104,1543456763.66532,1543456763.66538,38.366,271.0,309.366,2018-11-29 01:59:23.690634,2018-11-29 01:59:23.729000,2018-11-29 01:59:24.000000,part of what tom said was true
1077629.wav,12.6108753332,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456763.79702,1543456771.38422,1543456771.39506,1543456771.39532,1543456771.44965,157,67422,64,2,1543456763.79703,1543456763.79704,1543456763.79722,1543456763.80043,1543456770.15592,1543456771.38414,1543456771.3842,44.891999999999996,560.0,604.8919999999998,2018-11-29 01:59:31.395108,2018-11-29 01:59:31.440000,2018-11-29 01:59:32.000000,i don't have anything to say
3736123.wav,12.678239677,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456771.50233,1543456777.44536,1543456777.4526699,1543456777.45292,1543456777.50927,158,66466,64,2,1543456771.50234,1543456771.5023599,1543456771.50254,1543456771.50545,1543456776.52073,1543456777.44528,1543456777.4453402,42.29,505.0,547.2900000000002,2018-11-29 01:59:37.452710,2018-11-29 01:59:37.495000,2018-11-29 01:59:38.000000,they're going to do it for us
1847852.wav,12.7926441729,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456777.5636199,1543456783.33595,1543456783.35739,1543456783.35765,1543456783.4137301,173,81196,64,2,1543456777.56363,1543456777.56365,1543456777.56382,1543456777.5667,1543456781.78402,1543456783.33587,1543456783.33593,53.56399999999999,589.0,642.5640000000002,2018-11-29 01:59:43.357436,2018-11-29 01:59:43.411000,2018-11-29 01:59:44.000000,are you sure you don't want something to eat
2018757.wav,12.2738539324,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456783.4723198,1543456790.5924,1543456790.61056,1543456790.6108198,1543456790.6616302,164,64230,64,2,1543456783.47233,1543456783.47235,1543456783.4725199,1543456783.4755301,1543456789.19101,1543456790.59232,1543456790.59238,40.392,349.0,389.392,2018-11-29 01:59:50.610608,2018-11-29 01:59:50.651000,2018-11-29 01:59:51.000000,do you want to talk about it at all
1092841.wav,13.1115393533,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456790.7088,1543456797.99178,1543456798.0855,1543456798.08577,1543456798.13939,170,96236,64,3,1543456790.7088099,1543456790.7088199,1543456790.7089999,1543456790.71204,1543456796.2273,1543456797.9917,1543456797.99176,41.451,873.0,914.451,2018-11-29 01:59:58.085549,2018-11-29 01:59:58.127000,2018-11-29 01:59:59.000000,tom got married into going out for coffee
3738788.wav,12.291950202799999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456798.19911,1543456804.7801,1543456804.78857,1543456804.78882,1543456804.8427598,162,76070,64,2,1543456798.19913,1543456798.19914,1543456798.1993198,1543456798.20262,1543456802.6140199,1543456804.78002,1543456804.78008,39.384,172.0,211.38400000000001,2018-11-29 02:00:04.788616,2018-11-29 02:00:04.828000,2018-11-29 02:00:05.000000,don't expect everyone to like you
2330067.wav,11.9199182947,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456804.89453,1543456810.8840802,1543456810.89084,1543456810.8911,1543456810.9442,150,57816,64,1,1543456804.89454,1543456804.8945599,1543456804.89474,1543456804.89769,1543456809.83474,1543456810.8839998,1543456810.88406,44.115,1065.0,1109.115,2018-11-29 02:00:10.890885,2018-11-29 02:00:10.935000,2018-11-29 02:00:12.000000,i guess it's a secret
1024963.wav,13.036288497100001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456810.99138,1543456817.01088,1543456817.02927,1543456817.02953,1543456817.08019,159,73824,64,2,1543456810.99139,1543456810.9914,1543456810.99157,1543456810.99451,1543456815.5063698,1543456817.0108,1543456817.01086,51.683,919.0,970.683,2018-11-29 02:00:17.029317,2018-11-29 02:00:17.081000,2018-11-29 02:00:18.000000,tom is looking for his glasses
2239834.wav,12.8585850258,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456817.1363,1543456822.14416,1543456822.14888,1543456822.1491199,1543456822.20354,145,51388,64,1,1543456817.1363099,1543456817.1363199,1543456817.13649,1543456817.13948,1543456820.49655,1543456822.1440802,1543456822.14414,58.08300000000001,793.0,851.0830000000002,2018-11-29 02:00:22.148917,2018-11-29 02:00:22.207000,2018-11-29 02:00:23.000000,tom was prepared
2255334.wav,12.2673952755,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456822.25334,1543456826.41882,1543456826.44344,1543456826.4437,1543456826.49615,142,38608,64,1,1543456822.25335,1543456822.2533698,1543456822.25354,1543456822.25642,1543456825.03969,1543456826.41874,1543456826.4188,40.517,516.0,556.5169999999999,2018-11-29 02:00:26.443483,2018-11-29 02:00:26.484000,2018-11-29 02:00:27.000000,you'd love it
3264691.wav,12.2789035149,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456826.54016,1543456831.64202,1543456831.67414,1543456831.6744,1543456831.7255301,149,53016,64,1,1543456826.54017,1543456826.54019,1543456826.54037,1543456826.5434,1543456830.3967302,1543456831.64194,1543456831.6420002,39.81,286.0,325.81,2018-11-29 02:00:31.674190,2018-11-29 02:00:31.714000,2018-11-29 02:00:32.000000,his stature new book
5262881.wav,12.979535736199999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456831.77076,1543456836.4426,1543456836.45683,1543456836.4570801,1543456836.50968,149,61656,64,1,1543456831.7707698,1543456831.77079,1543456831.7709599,1543456831.77394,1543456835.32897,1543456836.44252,1543456836.44258,46.12900000000001,497.0,543.129,2018-11-29 02:00:36.456871,2018-11-29 02:00:36.503000,2018-11-29 02:00:37.000000,tom told me to leave
2004541.wav,12.8322173897,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456836.5628,1543456840.9546099,1543456841.00002,1543456841.0002801,1543456841.0558698,154,55262,64,1,1543456836.56281,1543456836.56283,1543456836.563,1543456836.5659199,1543456839.6215,1543456840.95453,1543456840.95459,45.93400000000001,954.0,999.934,2018-11-29 02:00:41.000066,2018-11-29 02:00:41.046000,2018-11-29 02:00:42.000000,what are you doing sunday
1234240.wav,11.662427545,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456841.10711,1543456846.3633301,1543456846.3749301,1543456846.37519,1543456846.4283,147,55254,64,1,1543456841.10712,1543456841.10714,1543456841.10731,1543456841.11069,1543456845.2887,1543456846.36325,1543456846.3633099,40.021,585.0,625.0210000000002,2018-11-29 02:00:46.374979,2018-11-29 02:00:46.415000,2018-11-29 02:00:47.000000,it's not that cold
5586336.wav,12.3745817548,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456846.4728599,1543456850.93863,1543456850.95542,1543456850.9556801,1543456851.00967,149,60372,64,1,1543456846.4728801,1543456846.4728901,1543456846.47307,1543456846.47606,1543456849.41749,1543456850.93855,1543456850.93861,38.532,1006.0,1044.532,2018-11-29 02:00:50.955468,2018-11-29 02:00:50.994000,2018-11-29 02:00:52.000000,tom is mad about you
3200745.wav,12.559038999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456851.0573301,1543456857.01791,1543456857.0346699,1543456857.03492,1543456857.08544,158,65822,64,2,1543456851.0573401,1543456851.05735,1543456851.05752,1543456851.06083,1543456855.14348,1543456857.0178301,1543456857.01789,40.286,925.0,965.2860000000001,2018-11-29 02:00:57.034714,2018-11-29 02:00:57.075000,2018-11-29 02:00:58.000000,tell tom while be right there
4015392.wav,12.179765706300001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456857.13745,1543456860.7453,1543456860.75807,1543456860.75833,1543456860.8187,146,50452,64,1,1543456857.13746,1543456857.13748,1543456857.13766,1543456857.1408,1543456859.4249198,1543456860.74513,1543456860.74528,42.883,199.0,241.883,2018-11-29 02:01:00.758117,2018-11-29 02:01:00.801000,2018-11-29 02:01:01.000000,always right fear
3358959.wav,13.018317977799999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456860.86779,1543456866.4396,1543456866.46151,1543456866.4617698,1543456866.515,154,62620,64,1,1543456860.8678,1543456860.86782,1543456860.8679998,1543456860.87132,1543456865.2720401,1543456866.43952,1543456866.43958,46.443999999999996,492.0,538.4440000000002,2018-11-29 02:01:06.461556,2018-11-29 02:01:06.508000,2018-11-29 02:01:07.000000,you're only gonna an hour
6124034.wav,12.3893168669,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456866.56728,1543456875.85153,1543456875.89195,1543456875.89222,1543456875.9444802,166,84074,64,2,1543456866.56729,1543456866.5673,1543456866.56748,1543456866.57064,1543456874.2198,1543456875.85146,1543456875.85151,42.997,65.0,107.99700000000001,2018-11-29 02:01:15.892003,2018-11-29 02:01:15.935000,2018-11-29 02:01:16.000000,i think tom likes hanging out with us
6089116.wav,12.663084543,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456875.99826,1543456883.5376801,1543456883.5553,1543456883.5555599,1543456883.6089401,171,92078,64,2,1543456875.99827,1543456875.99829,1543456875.99848,1543456876.00159,1543456881.68391,1543456883.5376,1543456883.53766,41.656000000000006,403.0,444.656,2018-11-29 02:01:23.555344,2018-11-29 02:01:23.597000,2018-11-29 02:01:24.000000,i don't plan to do that when thomas around
2406531.wav,11.9409841503,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456883.6647,1543456886.8403301,1543456886.86091,1543456886.8611698,1543456886.91564,149,53014,64,1,1543456883.66471,1543456883.66473,1543456883.6649,1543456883.66785,1543456885.87258,1543456886.84025,1543456886.8403099,41.042,98.0,139.042,2018-11-29 02:01:26.860958,2018-11-29 02:01:26.902000,2018-11-29 02:01:27.000000,i sold to this route
2640796.wav,12.562539250699999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456886.9604099,1543456895.1053,1543456895.1164901,1543456895.11674,1543456895.1830199,166,86634,64,2,1543456886.96042,1543456886.96044,1543456886.96061,1543456886.96365,1543456893.70675,1543456895.1052198,1543456895.1052802,38.468,845.0,883.4680000000002,2018-11-29 02:01:35.116532,2018-11-29 02:01:35.155000,2018-11-29 02:01:36.000000,i had no idea you were here in boston
5424320.wav,12.5477026348,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456895.23683,1543456900.16844,1543456900.17265,1543456900.1729,1543456900.22669,146,66454,64,2,1543456895.23684,1543456895.23685,1543456895.23703,1543456895.24011,1543456899.33882,1543456900.16836,1543456900.1684198,37.304,790.0,827.3040000000002,2018-11-29 02:01:40.172696,2018-11-29 02:01:40.210000,2018-11-29 02:01:41.000000,it was poison gas
1844214.wav,12.551110467300001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456900.28069,1543456907.04266,1543456907.0601401,1543456907.06031,1543456907.24725,167,82476,64,2,1543456900.2807,1543456900.28072,1543456900.2809,1543456900.28385,1543456905.38057,1543456907.0426,1543456907.04264,178.82799999999997,761.0,939.828,2018-11-29 02:01:47.060172,2018-11-29 02:01:47.239000,2018-11-29 02:01:48.000000,let me see that some leftovers for you
3820929.wav,12.2370869006,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456907.30275,1543456913.79995,1543456913.8111699,1543456913.81143,1543456913.86421,164,73188,64,2,1543456907.30276,1543456907.30277,1543456907.30295,1543456907.30603,1543456912.34559,1543456913.79987,1543456913.79993,44.784,144.0,188.784,2018-11-29 02:01:53.811216,2018-11-29 02:01:53.856000,2018-11-29 02:01:54.000000,what do you want to do after school
3200080.wav,12.4130777706,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456913.9175901,1543456921.95418,1543456921.99185,1543456921.99211,1543456922.04499,154,61018,64,1,1543456913.9176,1543456913.91762,1543456913.91779,1543456913.92089,1543456919.68782,1543456921.9541,1543456921.95416,37.1,971.0,1008.1,2018-11-29 02:02:01.991900,2018-11-29 02:02:02.029000,2018-11-29 02:02:03.000000,cobb told me all about it
4014084.wav,12.544886096900001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456922.09274,1543456929.94181,1543456929.9574099,1543456929.95767,1543456930.00995,165,81188,64,2,1543456922.09275,1543456922.0927699,1543456922.09294,1543456922.09599,1543456928.74752,1543456929.94173,1543456929.94179,38.542,1004.0,1042.542,2018-11-29 02:02:09.957458,2018-11-29 02:02:09.996000,2018-11-29 02:02:11.000000,what projects are you working on now
2541015.wav,12.5020436182,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456930.06367,1543456938.6894,1543456938.7337599,1543456938.73402,1543456938.7857802,161,72226,64,2,1543456930.0636802,1543456930.0637,1543456930.06388,1543456930.06686,1543456937.19227,1543456938.6893198,1543456938.6893802,47.19000000000001,219.0,266.19,2018-11-29 02:02:18.733810,2018-11-29 02:02:18.781000,2018-11-29 02:02:19.000000,i'll be finished here in an hour
1029621.wav,13.173593597,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456938.84042,1543456948.5402,1543456948.61928,1543456948.61954,1543456948.67556,172,97838,64,3,1543456938.84043,1543456938.84045,1543456938.84064,1543456938.84375,1543456945.7176301,1543456948.54012,1543456948.54018,41.673,339.0,380.673,2018-11-29 02:02:28.619327,2018-11-29 02:02:28.661000,2018-11-29 02:02:29.000000,com esta mary who had given her the picture
2327218.wav,13.058120441199998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456948.73998,1543456956.5181699,1543456956.59877,1543456956.59904,1543456956.6538599,160,78604,64,2,1543456948.73999,1543456948.74001,1543456948.74018,1543456948.7434,1543456954.89221,1543456956.51809,1543456956.51815,41.177,360.0,401.17699999999996,2018-11-29 02:02:36.598823,2018-11-29 02:02:36.640000,2018-11-29 02:02:37.000000,i found out something about tom
6123892.wav,12.795266966300002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456956.70132,1543456965.77474,1543456965.79044,1543456965.7907,1543456965.84704,167,84074,64,2,1543456956.70132,1543456956.7013302,1543456956.70145,1543456956.7036,1543456963.68064,1543456965.7746599,1543456965.77472,41.51,168.0,209.51,2018-11-29 02:02:45.790490,2018-11-29 02:02:45.832000,2018-11-29 02:02:46.000000,tom says he's interested in doing that
4495697.wav,12.5961160171,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456965.9038,1543456977.8404698,1543456977.88243,1543456977.8826,1543456977.91342,170,93990,64,2,1543456965.90381,1543456965.90383,1543456965.904,1543456965.90703,1543456975.49811,1543456977.84042,1543456977.84046,28.536,1089.0,1117.536,2018-11-29 02:02:57.882464,2018-11-29 02:02:57.911000,2018-11-29 02:02:59.000000,all woman time didn't know approached him
2245426.wav,12.599865039400001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456977.9563801,1543456983.45864,1543456983.52374,1543456983.52404,1543456983.58129,151,59416,64,1,1543456977.9563901,1543456977.95641,1543456977.9565802,1543456977.96001,1543456981.9741302,1543456983.45855,1543456983.4586198,53.202,423.0,476.202,2018-11-29 02:03:03.523798,2018-11-29 02:03:03.577000,2018-11-29 02:03:04.000000,everybody's assess but
3287302.wav,12.6915936295,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456983.6382198,1543456992.42186,1543456992.44619,1543456992.44646,1543456992.49741,166,83434,64,2,1543456983.63823,1543456983.63825,1543456983.6384199,1543456983.64167,1543456990.04771,1543456992.42178,1543456992.42184,39.756,514.0,553.756,2018-11-29 02:03:12.446244,2018-11-29 02:03:12.486000,2018-11-29 02:03:13.000000,tom try to act like nothing was wrong
4401020.wav,11.3267832764,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456992.55437,1543456996.91835,1543456996.93044,1543456996.9307,1543456996.97968,143,40852,64,1,1543456992.5543802,1543456992.5544,1543456992.55457,1543456992.5576,1543456995.9081302,1543456996.9182599,1543456996.9183302,39.514,1030.0,1069.514,2018-11-29 02:03:16.930486,2018-11-29 02:03:16.970000,2018-11-29 02:03:18.000000,it looks funny
282462.wav,12.2770012399,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543456997.02126,1543457001.03352,1543457001.0379,1543457001.03815,1543457001.08946,147,64238,63,2,1543456997.02127,1543456997.02129,1543456997.02146,1543456997.02436,1543456999.92011,1543457001.03343,1543457001.03349,43.055,919.0,962.055,2018-11-29 02:03:21.037945,2018-11-29 02:03:21.081000,2018-11-29 02:03:22.000000,my back still hurts
